rewrite,num_unf,score,total,flow_preserving,non_flow_preserving
pivot,1,-9,152659,0,0
pivot,1,-8,275565,0,0
pivot,1,-7,51245,0,0
pivot,1,-6,550727,0,0
pivot,1,-5,188016,0,0
pivot,1,-4,784758,0,0
pivot,1,-3,681600,0,0
pivot,1,-2,1210731,0,0
pivot,1,-1,810477,0,0
pivot,1,0,222910,0,0
pivot,1,1,17297,1099,975
pivot,1,2,2511,239,122
pivot,1,3,90,0,0
pivot,2,-42,3,0,0
pivot,2,-41,42,0,0
pivot,2,-40,6,0,0
pivot,2,-39,72,0,0
pivot,2,-38,63,0,0
pivot,2,-36,93,0,0
pivot,2,-35,186,0,0
pivot,2,-34,534,0,0
pivot,2,-32,135,0,0
pivot,2,-31,468,0,0
pivot,2,-30,498,0,0
pivot,2,-29,1482,0,0
pivot,2,-28,464,0,0
pivot,2,-27,700,0,0
pivot,2,-26,624,0,0
pivot,2,-25,14950,0,0
pivot,2,-24,18422,0,0
pivot,2,-23,5716,0,0
pivot,2,-22,5846,0,0
pivot,2,-21,7077,0,0
pivot,2,-20,74538,0,0
pivot,2,-19,13558,0,0
pivot,2,-18,32708,0,0
pivot,2,-17,11555,0,0
pivot,2,-16,100345,0,0
pivot,2,-15,103801,0,0
pivot,2,-14,42965,0,0
pivot,2,-13,29098,0,0
pivot,2,-12,318596,0,0
pivot,2,-11,53298,0,0
pivot,2,-10,246660,0,0
pivot,2,-9,268021,0,0
pivot,2,-8,629781,0,0
pivot,2,-7,96790,0,0
pivot,2,-6,1092438,0,0
pivot,2,-5,259907,0,0
pivot,2,-4,1608917,0,0
pivot,2,-3,1257099,0,0
pivot,2,-2,1926135,0,0
pivot,2,-1,1179705,0,0
pivot,2,0,158388,0,0
pivot,2,1,19471,2493,2544
pivot,2,2,1806,54,24
pivot,2,3,72,24,0
pivot,3,-36,21,0,0
pivot,3,-35,126,0,0
pivot,3,-32,156,0,0
pivot,3,-31,228,0,0
pivot,3,-30,288,0,0
pivot,3,-29,1020,0,0
pivot,3,-28,540,0,0
pivot,3,-27,1332,0,0
pivot,3,-26,540,0,0
pivot,3,-25,1068,0,0
pivot,3,-24,4500,0,0
pivot,3,-23,3792,0,0
pivot,3,-22,252,0,0
pivot,3,-21,1512,0,0
pivot,3,-20,32378,0,0
pivot,3,-19,10594,0,0
pivot,3,-18,23445,0,0
pivot,3,-17,8268,0,0
pivot,3,-16,59115,0,0
pivot,3,-15,102370,0,0
pivot,3,-14,28275,0,0
pivot,3,-13,27675,0,0
pivot,3,-12,272113,0,0
pivot,3,-11,43110,0,0
pivot,3,-10,150244,0,0
pivot,3,-9,306823,0,0
pivot,3,-8,342713,0,0
pivot,3,-7,67829,0,0
pivot,3,-6,868138,0,0
pivot,3,-5,196575,0,0
pivot,3,-4,997920,0,0
pivot,3,-3,1054346,0,0
pivot,3,-2,1414573,0,0
pivot,3,-1,796461,0,0
pivot,3,0,84069,0,0
pivot,3,1,13132,1183,2363
pivot,3,2,762,57,6
pivot,3,3,54,0,0
pivot,4,-30,63,0,0
pivot,4,-29,210,0,0
pivot,4,-26,105,0,0
pivot,4,-25,588,0,0
pivot,4,-24,1449,0,0
pivot,4,-23,432,0,0
pivot,4,-21,1284,0,0
pivot,4,-20,5401,0,0
pivot,4,-19,4610,0,0
pivot,4,-18,3120,0,0
pivot,4,-17,4164,0,0
pivot,4,-16,12660,0,0
pivot,4,-15,27034,0,0
pivot,4,-14,14508,0,0
pivot,4,-13,3482,0,0
pivot,4,-12,80617,0,0
pivot,4,-11,15601,0,0
pivot,4,-10,61326,0,0
pivot,4,-9,87821,0,0
pivot,4,-8,182475,0,0
pivot,4,-7,24837,0,0
pivot,4,-6,352690,0,0
pivot,4,-5,60739,0,0
pivot,4,-4,498269,0,0
pivot,4,-3,287879,0,0
pivot,4,-2,638207,0,0
pivot,4,-1,305826,0,0
pivot,4,0,30856,0,0
pivot,4,1,4732,295,1073
pivot,4,2,276,12,24
pivot,5,-24,105,0,0
pivot,5,-23,210,0,0
pivot,5,-20,903,0,0
pivot,5,-19,1176,0,0
pivot,5,-16,3924,0,0
pivot,5,-15,3558,0,0
pivot,5,-14,1431,0,0
pivot,5,-13,966,0,0
pivot,5,-12,15689,0,0
pivot,5,-11,6960,0,0
pivot,5,-10,10312,0,0
pivot,5,-9,17531,0,0
pivot,5,-8,23642,0,0
pivot,5,-7,9141,0,0
pivot,5,-6,56678,0,0
pivot,5,-5,12676,0,0
pivot,5,-4,79760,0,0
pivot,5,-3,87977,0,0
pivot,5,-2,123177,0,0
pivot,5,-1,88443,0,0
pivot,5,0,4996,0,0
pivot,5,1,1206,83,216
pivot,5,2,30,0,0
id_fuse,0,0,163836,0,0
id_fuse,0,2,1045,0,0
lcomp,0,-66,17,0,0
lcomp,0,-62,7,0,0
lcomp,0,-56,1,0,0
lcomp,0,-55,6,0,0
lcomp,0,-53,3,0,0
lcomp,0,-51,2,0,0
lcomp,0,-45,42,0,0
lcomp,0,-43,33,0,0
lcomp,0,-41,15,0,0
lcomp,0,-39,1,0,0
lcomp,0,-36,136,0,0
lcomp,0,-34,37,0,0
lcomp,0,-32,24,0,0
lcomp,0,-30,3,0,0
lcomp,0,-28,356,0,0
lcomp,0,-26,101,0,0
lcomp,0,-24,49,0,0
lcomp,0,-22,18,0,0
lcomp,0,-21,1238,0,0
lcomp,0,-20,2,0,0
lcomp,0,-19,296,0,0
lcomp,0,-17,69,0,0
lcomp,0,-15,4407,0,0
lcomp,0,-13,1009,0,0
lcomp,0,-11,207,0,0
lcomp,0,-10,13416,0,0
lcomp,0,-9,59,0,0
lcomp,0,-8,2426,0,0
lcomp,0,-7,10,0,0
lcomp,0,-6,45062,0,0
lcomp,0,-4,4806,0,0
lcomp,0,-3,113976,0,0
lcomp,0,-2,379,0,0
lcomp,0,-1,281125,0,0
lcomp,0,0,130089,63901,0
lcomp,0,1,3050,1717,0
lcomp,0,3,8,8,0
lcomp,1,-66,211,0,0
lcomp,1,-64,14,0,0
lcomp,1,-62,48,0,0
lcomp,1,-55,175,0,0
lcomp,1,-53,36,0,0
lcomp,1,-51,17,0,0
lcomp,1,-45,661,0,0
lcomp,1,-43,340,0,0
lcomp,1,-41,91,0,0
lcomp,1,-39,30,0,0
lcomp,1,-36,3100,0,0
lcomp,1,-34,496,0,0
lcomp,1,-32,169,0,0
lcomp,1,-30,13,0,0
lcomp,1,-28,8921,0,0
lcomp,1,-26,1958,0,0
lcomp,1,-24,419,0,0
lcomp,1,-22,57,0,0
lcomp,1,-21,27091,0,0
lcomp,1,-20,10,0,0
lcomp,1,-19,5181,0,0
lcomp,1,-17,790,0,0
lcomp,1,-15,77649,0,0
lcomp,1,-13,10825,0,0
lcomp,1,-11,978,0,0
lcomp,1,-10,218796,0,0
lcomp,1,-9,73,0,0
lcomp,1,-8,21844,0,0
lcomp,1,-7,2,0,0
lcomp,1,-6,597437,0,0
lcomp,1,-4,30839,0,0
lcomp,1,-3,1281789,0,0
lcomp,1,-2,1042,0,0
lcomp,1,-1,2548166,0,0
lcomp,1,0,43,0,0
lcomp,1,1,8477,2414,5
lcomp,2,-55,1092,0,0
lcomp,2,-45,627,0,0
lcomp,2,-43,63,0,0
lcomp,2,-41,36,0,0
lcomp,2,-36,2365,0,0
lcomp,2,-34,936,0,0
lcomp,2,-32,324,0,0
lcomp,2,-30,60,0,0
lcomp,2,-28,11151,0,0
lcomp,2,-26,990,0,0
lcomp,2,-24,222,0,0
lcomp,2,-22,6,0,0
lcomp,2,-21,30123,0,0
lcomp,2,-20,15,0,0
lcomp,2,-19,4283,0,0
lcomp,2,-17,587,0,0
lcomp,2,-15,80617,0,0
lcomp,2,-13,8973,0,0
lcomp,2,-11,773,0,0
lcomp,2,-10,197859,0,0
lcomp,2,-9,50,0,0
lcomp,2,-8,14955,0,0
lcomp,2,-7,27,0,0
lcomp,2,-6,464126,0,0
lcomp,2,-4,23717,0,0
lcomp,2,-3,1017268,0,0
lcomp,2,-2,690,0,0
lcomp,2,-1,1678604,0,0
lcomp,2,0,18,0,0
lcomp,2,1,10017,2377,3137
lcomp,2,3,5,0,5
lcomp,3,-36,660,0,0
lcomp,3,-28,3299,0,0
lcomp,3,-26,1496,0,0
lcomp,3,-24,590,0,0
lcomp,3,-22,60,0,0
lcomp,3,-21,16037,0,0
lcomp,3,-19,1358,0,0
lcomp,3,-17,245,0,0
lcomp,3,-15,41755,0,0
lcomp,3,-13,4067,0,0
lcomp,3,-11,438,0,0
lcomp,3,-10,92994,0,0
lcomp,3,-9,24,0,0
lcomp,3,-8,6626,0,0
lcomp,3,-6,184398,0,0
lcomp,3,-4,7782,0,0
lcomp,3,-3,349492,0,0
lcomp,3,-2,177,0,0
lcomp,3,-1,600129,0,0
lcomp,3,1,4143,730,1629
lcomp,4,-28,990,0,0
lcomp,4,-21,5314,0,0
lcomp,4,-19,1966,0,0
lcomp,4,-17,610,0,0
lcomp,4,-15,19140,0,0
lcomp,4,-13,1120,0,0
lcomp,4,-11,140,0,0
lcomp,4,-10,44510,0,0
lcomp,4,-8,2882,0,0
lcomp,4,-6,78105,0,0
lcomp,4,-4,3265,0,0
lcomp,4,-3,126043,0,0
lcomp,4,-2,87,0,0
lcomp,4,-1,181107,0,0
lcomp,4,1,1495,213,660
lcomp,5,-21,792,0,0
lcomp,5,-15,4166,0,0
lcomp,5,-13,1124,0,0
lcomp,5,-11,248,0,0
lcomp,5,-10,11830,0,0
lcomp,5,-9,6,0,0
lcomp,5,-8,476,0,0
lcomp,5,-6,22461,0,0
lcomp,5,-4,920,0,0
lcomp,5,-3,31720,0,0
lcomp,5,-2,41,0,0
lcomp,5,-1,38956,0,0
lcomp,5,1,279,52,99
pivot,0,-46,1,0,0
pivot,0,-41,7,0,0
pivot,0,-39,2,0,0
pivot,0,-38,1,0,0
pivot,0,-37,1,0,0
pivot,0,-36,4,0,0
pivot,0,-35,5,0,0
pivot,0,-34,4,0,0
pivot,0,-33,9,0,0
pivot,0,-32,17,0,0
pivot,0,-31,6,0,0
pivot,0,-30,15,0,0
pivot,0,-29,21,0,0
pivot,0,-28,46,0,0
pivot,0,-27,18,0,0
pivot,0,-26,42,0,0
pivot,0,-25,35,0,0
pivot,0,-24,127,0,0
pivot,0,-23,57,0,0
pivot,0,-22,50,0,0
pivot,0,-21,176,0,0
pivot,0,-20,225,0,0
pivot,0,-19,162,0,0
pivot,0,-18,539,0,0
pivot,0,-17,155,0,0
pivot,0,-16,638,0,0
pivot,0,-15,747,0,0
pivot,0,-14,850,0,0
pivot,0,-13,570,0,0
pivot,0,-12,3296,0,0
pivot,0,-11,729,0,0
pivot,0,-10,3599,0,0
pivot,0,-9,4331,0,0
pivot,0,-8,8758,0,0
pivot,0,-7,3608,0,0
pivot,0,-6,25683,0,0
pivot,0,-5,8155,0,0
pivot,0,-4,50964,0,0
pivot,0,-3,53082,0,0
pivot,0,-2,132700,0,0
pivot,0,-1,156033,0,0
pivot,0,0,177861,57604,54
pivot,0,1,12070,4514,28
pivot,0,2,2173,1185,1
pivot,0,3,123,95,0
pivot,0,4,14,14,0
pivot,0,5,6,6,0
pivot,1,-80,110,0,0
pivot,1,-63,2,0,0
pivot,1,-62,18,0,0
pivot,1,-61,20,0,0
pivot,1,-60,170,0,0
pivot,1,-59,13,0,0
pivot,1,-58,35,0,0
pivot,1,-55,72,0,0
pivot,1,-50,78,0,0
pivot,1,-48,20,0,0
pivot,1,-47,73,0,0
pivot,1,-46,16,0,0
pivot,1,-45,247,0,0
pivot,1,-44,324,0,0
pivot,1,-43,167,0,0
pivot,1,-42,776,0,0
pivot,1,-41,731,0,0
pivot,1,-40,487,0,0
pivot,1,-39,189,0,0
pivot,1,-38,549,0,0
pivot,1,-37,165,0,0
pivot,1,-36,1688,0,0
pivot,1,-35,1778,0,0
pivot,1,-34,1779,0,0
pivot,1,-33,1891,0,0
pivot,1,-32,2621,0,0
pivot,1,-31,986,0,0
pivot,1,-30,10027,0,0
pivot,1,-29,1975,0,0
pivot,1,-28,7670,0,0
pivot,1,-27,4597,0,0
pivot,1,-26,4467,0,0
pivot,1,-25,8187,0,0
pivot,1,-24,22356,0,0
pivot,1,-23,7215,0,0
pivot,1,-22,9927,0,0
pivot,1,-21,19378,0,0
pivot,1,-20,43446,0,0
pivot,1,-19,13953,0,0
pivot,1,-18,69081,0,0
pivot,1,-17,12893,0,0
pivot,1,-16,82978,0,0
pivot,1,-15,111630,0,0
pivot,1,-14,74669,0,0
pivot,1,-13,40873,0,0
pivot,1,-12,374099,0,0
pivot,1,-11,45649,0,0
pivot,1,-10,311832,0,0
pivot,1,-9,350529,0,0
pivot,1,-8,645192,0,0
pivot,1,-7,169542,0,0
pivot,1,-6,1435987,0,0
pivot,1,-5,430829,0,0
pivot,1,-4,2060770,0,0
pivot,1,-3,1870157,0,0
pivot,1,-2,3292495,0,0
pivot,1,-1,2485879,0,0
pivot,1,0,620043,0,0
pivot,1,1,55059,3492,3942
pivot,1,2,5031,548,193
pivot,1,3,82,6,0
pivot,1,4,13,0,0
pivot,2,-72,550,0,0
pivot,2,-70,396,0,0
pivot,2,-63,1980,0,0
pivot,2,-56,25,0,0
pivot,2,-55,92,0,0
pivot,2,-54,554,0,0
pivot,2,-53,265,0,0
pivot,2,-52,69,0,0
pivot,2,-51,120,0,0
pivot,2,-50,627,0,0
pivot,2,-48,168,0,0
pivot,2,-47,336,0,0
